Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,Comment
472,Elyria-K,146.700000,-,0.600000,TSQL,110.9,110.9,23,NN,23,Tone->Tone,FM,"OH S04 | Link, Wide | https://tinyurl.com/2apusl8p"
473,Elyria-L,147.150000,+,0.600000,TSQL,110.9,110.9,23,NN,23,Tone->Tone,FM,"OH S04 | Link, EchoLink, Wide | https://tinyurl.com/29jtkyhk"
474,Greenfie,146.685000,-,0.600000,Tone,118.8,88.5,23,NN,23,Tone->Tone,FM,"OH S04 | Link, Wide | https://tinyurl.com/28udpzf6"
475,Lexingto,444.350000,+,5.000000,TSQL,91.5,91.5,23,NN,23,Tone->Tone,FM,"OH S04 | Link, Wide | https://tinyurl.com/2bg4q7qp"
476,Owensvil,443.450000,+,5.000000,,88.5,88.5,23,NN,23,Tone->Tone,FM,"OH S04 | Link, Wide | https://tinyurl.com/29onhr5a"
477,Polk-N8S,145.130000,-,0.600000,TSQL,110.9,110.9,23,NN,23,Tone->Tone,FM,"OH S04 | Link, Wide | https://tinyurl.com/2329wsw9"
478,Springbo,145.490000,-,0.600000,Cross,123.0,77.0,23,NN,23,Tone->Tone,FM,"OH S04 | Link, EchoLink, Wide | https://tinyurl.com/2a5fbh5k"
479,SteubenV,147.060000,+,0.600000,Tone,114.8,88.5,23,NN,23,Tone->Tone,FM,"OH S04 | Link, Nets | https://tinyurl.com/26zq9cvd"
480,Toledo-W,146.835000,-,0.600000,Tone,103.5,88.5,23,NN,23,Tone->Tone,FM,"OH S04 | Link, Wide | https://tinyurl.com/22pnxgju"
481,Charlest,444.775000,+,5.000000,Tone,123.0,88.5,23,NN,23,Tone->Tone,FM,SC S04 | Sys | https://tinyurl.com/2azoo6ej
482,Dillon-W,146.745000,-,0.600000,TSQL,82.5,82.5,23,NN,23,Tone->Tone,FM,SC S04 | Sys | https://tinyurl.com/27v7xwnf
483,Dorchest,443.800000,+,5.000000,Tone,123.0,88.5,23,NN,23,Tone->Tone,FM,SC S04 | Sys | https://tinyurl.com/2xzdqq8o
484,Georgeto,146.700000,-,0.600000,Tone,123.0,88.5,23,NN,23,Tone->Tone,FM,SC S04 | Sys | https://tinyurl.com/2cl7utmq
485,Greenwoo,147.165000,+,0.600000,Tone,107.2,88.5,23,NN,23,Tone->Tone,FM,"SC S04 | Link, EchoLink, Wide | https://tinyurl.com/29c8lsfm"
486,KnightsV,441.450000,+,5.000000,Tone,123.0,88.5,23,NN,23,Tone->Tone,FM,SC S04 | Sys | https://tinyurl.com/2bsp2f2w
487,RockHill,147.030000,-,0.600000,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,"SC S04 | Link, AllStar+EchoLink, Nets | https://tinyurl.com/25zxca9t"
488,Spartanb,441.950000,+,5.000000,Tone,162.2,88.5,23,NN,23,Tone->Tone,FM,SC S04 | Sys | https://tinyurl.com/29dvc2tj
489,SummerVl,146.985000,-,0.600000,Tone,123.0,88.5,23,NN,23,Tone->Tone,FM,SC S04 | Sys | https://tinyurl.com/24jnl6qg
490,Union-K4,146.835000,-,0.600000,Tone,123.0,88.5,23,NN,23,Tone->Tone,FM,SC S04 | Sys | https://tinyurl.com/2a4eqbd5
491,Walterbo,147.135000,+,0.600000,,88.5,88.5,23,NN,23,Tone->Tone,FM,SC S04 | Sys | https://tinyurl.com/2yxk4ryu
492,Walterbo,444.850000,+,5.000000,Tone,123.0,88.5,23,NN,23,Tone->Tone,FM,SC S04 | Sys | https://tinyurl.com/2deg772o
493,CHA-Sign,443.125000,+,5.000000,Tone,103.5,88.5,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/2bmknhh5
494,Clevelan,442.025000,+,5.000000,Tone,100.0,88.5,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/25jq9hmh
495,Columbia,442.725000,+,5.000000,Cross,88.5,100.0,23,NN,23,->Tone,FM,TN S04 | Sys | https://tinyurl.com/23u3v9lz
496,Cookevil,444.600000,+,5.000000,Tone,107.2,88.5,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/2ykrr73u
497,Cookevil,147.210000,+,0.600000,TSQL,107.2,107.2,23,NN,23,Tone->Tone,FM,"TN S04 | Link, EchoLink, Wide | https://tinyurl.com/2c8lyem5"
498,CrossVll,443.850000,+,5.000000,Cross,88.5,118.8,23,NN,23,->Tone,FM,TN S04 | Sys | https://tinyurl.com/26upmgnp
499,DupontSp,444.000000,+,5.000000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/2aat3wdz
500,Eaton-KI,147.270000,+,0.600000,TSQL,107.2,107.2,23,NN,23,Tone->Tone,FM,TN S04 | Wide | https://tinyurl.com/23fdhfmu
501,GreeneVl,443.825000,+,5.000000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,TN S04 | Wide | https://tinyurl.com/22ntysam
502,Heritage,443.075000,+,5.000000,Tone,156.7,88.5,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/2bwsu6x8
503,Hixson-W,444.450000,+,5.000000,,88.5,88.5,23,NN,23,Tone->Tone,FM,"TN S04 | Link, Wide | https://tinyurl.com/24olesz6"
504,Jackson-,444.875000,+,5.000000,TSQL,131.8,131.8,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/24ellddt
505,Knoxvill,444.500000,+,5.000000,Tone,100.0,88.5,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/24zlcvgd
506,LobelVll,442.850000,+,5.000000,Tone,107.2,88.5,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/28sbdnr5
507,Maryvill,443.900000,+,5.000000,Tone,100.0,88.5,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/238f2odz
508,McEwen-W,443.375000,+,5.000000,Tone,114.8,88.5,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/23e2p54u
