Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
46,Elkhart,462.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Elkhart | Elkhart | WRFY597,,,,
47,Indianap,462.550000,+,5.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Marion | Indianapolis | WQPV948,,,,
48,Burlingt,462.575000,+,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Carroll | Burlington | WQSK928,,,,
49,Elwood,462.575000,+,5.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"IN | Madison | Elwood, Harvest Market | WROI852",,,,
50,Evansvil,462.575000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"IN | Vanderburgh | Evansville, Deaconess midtown hospital | WRQS826",,,,
51,Hammond,462.575000,+,5.000000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Lake | Hammond | WRDC559,,,,
52,FloydsKn,462.600000,+,5.000000,DTCS,88.5,88.5,351,NN,351,Tone->Tone,FM,5.00,,10W,"IN | Floyd | Floyd's Knobs, Floyd Knobs Overlook | WRDI358",,,,
53,Ridgevil,462.600000,+,5.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Randolph | Ridgeville | WRFD640,,,,
54,Alexandr,462.625000,+,5.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Madison | Alexandria | WRKY635,,,,
55,Michigan,462.625000,+,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,"IN | Clinton | Michigantown, Clinton Central | WROU622",,,,
56,OgdenDun,462.625000,+,5.000000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,,10W,"IN | Porter | Ogden Dunes, Ogden Dunes 1 | WRQC362",,,,
57,FortWayn,462.650000,+,5.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"IN | Allen | Fort Wayne, Bloomingdale | WROA544",,,,
58,Frenchli,462.650000,+,5.000000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Orange | French lick | WSGB785,,,,
59,Muncie,462.650000,+,5.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Delaware | Muncie | WRAM564,,,,
60,TerreHau,462.650000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"IN | Vigo | Terre Haute, North Terre Haute | WRUP742",,,,
61,Tippecan,462.650000,+,5.000000,TSQL,173.8,173.8,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Marshall | Tippecanoe | WRFZ435,,,,
62,Anderson,462.675000,+,5.000000,TSQL,167.9,167.9,023,NN,023,Tone->Tone,FM,5.00,,10W,"IN | Madison | Anderson, Mcema - Eoc | WSFQ575",,,,
63,Avon,462.675000,+,5.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"IN | Hendricks | Avon, West Indianapolis Raceway Road | WSHP321",,,,
64,FortWayn,462.675000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Allen | Fort Wayne | WREQ745,,,,
65,LaPorte,462.675000,+,5.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,10W,"IN | La Porte | La Porte, Att Tower | WQQQ223",,,,
66,Wabash,462.675000,+,5.000000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Wabash | Wabash | WSLT439,,,,
67,Westlafa,462.675000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Tippecanoe | West lafayette | WRUZ381,,,,
68,Hudson,462.700000,+,5.000000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Steuben | Hudson | WRQU355,,,,
69,Russiavi,462.700000,+,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Howard | Russiaville | WQSK928,,,,
70,Valparai,462.700000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Porter | Valparaiso | WRVH756,,,,
71,Winchest,462.700000,+,5.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,10W,IN | Randolph | Winchester | WRJE654,,,,
72,Michigan,462.725000,+,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"IN | La Porte | Michigan city, Greenwood Cemetary | WRXQ667",,,,
73,Bardstow,462.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Nelson | Bardstown | WSAR295,,,,
74,ElkCreek,462.550000,+,5.000000,DTCS,88.5,88.5,503,NN,503,Tone->Tone,FM,5.00,,10W,KY | Spencer | Elk Creek | WSGM556,,,,
75,Middlesb,462.550000,+,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,"KY | Bell | Middlesboro, White Oak Spur | WSHV886",,,,
76,Prestons,462.550000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Floyd | Prestonsburg | WSGR404,,,,
77,Princeto,462.550000,+,5.000000,TSQL,82.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Caldwell | Princeton | WRKE995 | unverified,,,,
78,Somerset,462.550000,+,5.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Pulaski | Somerset | WRCV729,,,,
79,Williams,462.550000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"KY | Whitley | Williamsburg, Canada town | WQXZ786",,,,
80,Crittend,462.575000,+,5.000000,DTCS,88.5,88.5,503,NN,503,Tone->Tone,FM,5.00,,10W,KY | Kenton | Crittenden | WRMI417,,,,
81,Fairdale,462.575000,+,5.000000,DTCS,88.5,88.5,654,NN,654,Tone->Tone,FM,5.00,,10W,KY | Jefferson | Fairdale | WQYD228,,,,
82,Frankfor,462.575000,+,5.000000,DTCS,88.5,88.5,125,NN,125,Tone->Tone,FM,5.00,,10W,KY | Franklin | Frankfort | WRVV430,,,,
83,Lexingto,462.575000,+,5.000000,DTCS,88.5,88.5,132,NN,132,Tone->Tone,FM,5.00,,10W,KY | Fayette | Lexington | WSAL467,,,,
84,Harrodsb,462.600000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Mercer | Harrodsburg | WSDR992,,,,
85,Mckee,462.600000,+,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Jackson | Mckee | WRVF333,,,,
86,Viper,462.600000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"KY | Perry | Viper, Tower with cross | WRKL806",,,,
87,BeeLick,462.625000,+,5.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Pulaski | Bee Lick | WROE979,,,,
88,Frankfor,462.625000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Franklin | Frankfort | WRAW353,,,,
89,Lafayett,462.625000,+,5.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Trigg | Lafayette | WSHY583,,,,
90,Lebanon,462.625000,+,5.000000,DTCS,88.5,88.5,243,NN,243,Tone->Tone,FM,5.00,,10W,"KY | Marion | Lebanon, Gravel Switch | WRKZ517",,,,
91,Louisvil,462.625000,+,5.000000,DTCS,88.5,88.5,503,NN,503,Tone->Tone,FM,5.00,,10W,KY | Jefferson | Louisville South End System | WSGB958,,,,
