Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
43,GPisgahF,462.575000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
44,GSwannan,462.550000,+,5.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
45,GTryon,462.650000,+,5.000000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
46,GWeaverv,462.575000,+,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
47,GClyde,462.625000,+,5.000000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
81,MURS1,151.820000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,10W,,,,,
82,MURS2,151.880000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,10W,,,,,
83,MURS3,151.940000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,10W,,,,,
84,MURS4BD,154.570000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10W,,,,,
85,MURS5GD,154.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10W,,,,,
91,WX1AVL,162.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,6.0W,,,,,
92,WX2,162.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,6.0W,,,,,
93,WX3,162.450000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,6.0W,,,,,
94,WX4,162.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,6.0W,,,,,
95,WX5,162.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,6.0W,,,,,
96,WX6,162.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,6.0W,,,,,
97,WX7,162.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,6.0W,,,,,
100,70cmCall,446.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
101,2mCall,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
102,70cSim1,446.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
103,70cSim2,446.050000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
104,70cSim3,446.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
105,70cSim4,446.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,70cm FM simplex (SERA),,,,
106,2mSim1,146.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA),,,,
107,2mSim2,146.580000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA),,,,
108,2mSim3,147.555000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA),,,,
109,2mSim4,147.585000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,2m FM simplex (SERA),,,,
110,BakersV,145.310000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
111,BearU1,442.450000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
112,BearU2,444.250000,+,5.000000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
113,BearV1,145.270000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
114,BearV2,146.640000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
115,BearV3,147.105000,+,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
116,BurnsvV,147.375000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
117,CantonV,146.805000,+,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
118,CashrsV,145.350000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
119,ChmbrsV,147.390000,+,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
120,ClngmnU1,442.225000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
121,ClngmnU2,443.600000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
122,ClngmnV,145.190000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
123,CoweeU,444.375000,+,5.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
124,FranklnV,147.240000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
125,PinBrvV,147.135000,+,0.840000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
126,PinHenV,145.255000,-,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
127,PisgahV,146.760000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
128,SpiveyV,146.910000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
129,UtahMtU,444.450000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
130,WolfRdV,147.180000,+,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
131,SpiveyU,442.650000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
