Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,"   Lebanon Gravel Switch",462.625,,5,DTCS,88.5,88.5,243,NN,FM,12.5,"   Lebanon, Gravel Switch",
2,"Bardstown ",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Bardstown",
3,"Bee Lick ",462.625,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Bee Lick",
4,"Carlisle  Mt Moriah Repeater ",462.725,,5,TSQL,127.3,127.3,023,NN,FM,12.5,"Carlisle , Mt Moriah Repeater ",
5,"Crittenden ",462.575,,5,DTCS,88.5,88.5,503,NN,FM,12.5,"Crittenden",
6,"Crittenden ",462.725,,5,TSQL,225.7,225.7,023,NN,FM,12.5,"Crittenden",
7,"Dorton FLATSWOODS",462.650,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Dorton, FLATSWOODS",
8,"Elk Creek ",462.550,,5,DTCS,88.5,88.5,503,NN,FM,12.5,"Elk Creek",
9,"Fairdale ",462.575,,5,DTCS,88.5,88.5,654,NN,FM,12.5,"Fairdale",
10,"Frankfort Elkhorn Campground",462.650,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Frankfort, Elkhorn Campground",
11,"Frankfort ",462.625,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Frankfort",
12,"Frankfort ",462.575,,5,DTCS,88.5,88.5,125,NN,FM,12.5,"Frankfort",
13,"Frankfort ",462.725,,5,,88.5,88.5,023,NN,FM,12.5,"Frankfort",
14,"Fredonia Crayne Knob",462.725,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Fredonia, Crayne Knob",
15,"Garrett ",462.675,,5,TSQL,127.3,127.3,023,NN,FM,12.5,"Garrett",
16,"Graefenburg ",462.725,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Graefenburg",
17,"Harrodsburg  ",462.600,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Harrodsburg ",
18,"Hopkinsville ",462.650,,5,TSQL,192.8,192.8,023,NN,FM,12.5,"Hopkinsville",
19,"Hopkinsville ",462.550,,5,TSQL,82.5,82.5,023,NN,FM,12.5,"Hopkinsville",
20,"La Grange ",462.650,,5,TSQL,151.4,151.4,023,NN,FM,12.5,"La Grange",
21,"Lafayette ",462.625,,5,TSQL,67.0,67.0,023,NN,FM,12.5,"Lafayette",
22,"Lawrenceburg North of BG Pkwy Exit 48/KY53",462.650,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Lawrenceburg, North of BG Pkwy Exit 48/KY53",
23,"Lawrenceburg Lovers Leap Winery",462.675,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Lawrenceburg, Lovers Leap Winery",
24,"Lebanon Marion County",462.675,,5,TSQL,156.7,156.7,023,NN,FM,12.5,"Lebanon, Marion County",
25,"Lexington ",462.575,,5,DTCS,88.5,88.5,132,NN,FM,12.5,"Lexington",
26,"London ",462.675,,5,,88.5,88.5,023,NN,FM,12.5,"London",
27,"Louisville South End System ",462.625,,5,DTCS,88.5,88.5,503,NN,FM,12.5,"Louisville South End System",
28,"Martin ",462.725,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Martin",
29,"Mckee ",462.600,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Mckee",
30,"Middlesboro White Oak Spur",462.550,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Middlesboro, White Oak Spur",
31,"Murray Murray State University Campus",462.625,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Murray, Murray State University Campus",
32,"Nancy ",462.700,,5,TSQL,118.8,118.8,023,NN,FM,12.5,"Nancy",
33,"Paintsville Starfire Hill",462.700,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Paintsville, Starfire Hill",
34,"Prestonsburg ",462.550,,5,Tone,114.8,88.5,023,NN,FM,12.5,"Prestonsburg",
35,"Princeton ",462.550,,5,TSQL,82.5,82.5,023,NN,FM,12.5,"Princeton",
36,"Richmond ",462.650,,5,DTCS,88.5,88.5,143,NN,FM,12.5,"Richmond",
37,"Russell Springs Hubbards building supply",462.675,,5,,88.5,88.5,023,NN,FM,12.5,"Russell Springs, Hubbards building supply",
38,"Russellville ",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"Russellville",
39,"Smithfield Busted Knuckle Garage ",462.675,,5,DTCS,88.5,88.5,365,NN,FM,12.5,"Smithfield, Busted Knuckle Garage ",
40,"Somerset ",462.550,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Somerset",
41,"Viper Tower with cross",462.600,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Viper, Tower with cross",
42,"Williamsburg Canada town",462.550,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Williamsburg, Canada town",
