Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
21,"Hampton ",462.650,,5,TSQL,114.8,114.8,023,NN,FM,12.5,"Hampton",
22,"Hampton Bethel Tower Hampton",462.575,,5,TSQL,203.5,203.5,023,NN,FM,12.5,"Hampton, Bethel Tower Hampton",
23,"Hot springs  Ingalls air field",462.650,,5,TSQL,206.5,206.5,023,NN,FM,12.5,"Hot springs , Ingalls air field",
24,"Kenbridge Old America Gas Building",462.700,,5,DTCS,88.5,88.5,245,NN,FM,12.5,"Kenbridge, Old America Gas Building",
25,"Kenbridge  Sugar Hill 625",462.625,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Kenbridge , Sugar Hill 625",
26,"Linden Fiery Run Road",462.625,,5,,88.5,88.5,023,NN,FM,12.5,"Linden, Fiery Run Road",
27,"Lovington  Rockfish",462.700,,5,TSQL,77.0,77.0,023,NN,FM,12.5,"Lovington , Rockfish",
28,"Lynchburg  ",462.550,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Lynchburg ",
29,"Lynchburg  ",462.550,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Lynchburg ",
30,"Montross ",462.550,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Montross",
31,"Muckcross 190ft Privite Tower",462.575,,5,DTCS,88.5,88.5,244,NN,FM,12.5,"Muckcross, 190ft Privite Tower",
32,"New Castle ",462.550,,5,TSQL,77.0,77.0,023,NN,FM,12.5,"New Castle",
33,"New Market Luray",462.575,,5,Tone,141.3,88.5,023,NN,FM,12.5,"New Market, Luray",
34,"Newport news ",462.550,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Newport news",
35,"Pearisburg Mtlake",462.675,,5,DTCS,88.5,88.5,073,NN,FM,12.5,"Pearisburg, Mtlake",
36,"Pearisburg Dismal Peak",462.700,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Pearisburg, Dismal Peak",
37,"Pearisburg Dismal peak",462.700,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Pearisburg, Dismal peak",
38,"Pulaski Peaks Lnob",462.550,,5,TSQL,88.5,141.3,023,NN,FM,12.5,"Pulaski, Peaks Lnob",
39,"Radford ",462.725,,5,TSQL,179.9,179.9,023,NN,FM,12.5,"Radford",
40,"Richlands BIG A MOUNTAIN, VA",462.625,,5,TSQL,162.2,162.2,023,NN,FM,12.5,"Richlands, BIG A MOUNTAIN, VA",
41,"Richmond ",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Richmond",
42,"South Boston ",462.600,,5,TSQL,107.2,107.2,023,NN,FM,12.5,"South Boston",
43,"South hill, va ",462.575,,5,DTCS,88.5,88.5,244,NN,FM,12.5,"South hill, va",
44,"Stafford ",462.600,,5,TSQL,156.7,156.7,023,NN,FM,12.5,"Stafford",
45,"Staunton ELLIOTT KNOB",462.600,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Staunton, ELLIOTT KNOB",
46,"Troy ",462.700,,5,Tone,156.7,88.5,023,NN,FM,12.5,"Troy",
47,"Urbanna ",462.725,,5,TSQL,199.5,199.5,023,NN,FM,12.5,"Urbanna",
48,"Verona ",462.700,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Verona",
49,"Winchester North Mountain",462.550,,5,TSQL,118.8,118.8,023,NN,FM,12.5,"Winchester, North Mountain",
50,"Woodbridge Government Complex Center ",462.625,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Woodbridge, Government Complex Center ",
51,"Woodbridge Government Complex Center ",462.625,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Woodbridge, Government Complex Center ",
52,"Woodbridge Government Complex Center ",462.625,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Woodbridge, Government Complex Center ",
