Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,"Alexandria West End Alexandria",462.600,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Alexandria, West End Alexandria",
2,"Alexandria Fort Ward Park; NW Alexandria",462.625,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Alexandria, Fort Ward Park; NW Alexandria",
3,"Alexandria Mount Vernon, VA",462.575,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Alexandria, Mount Vernon, VA",
4,"Arlington Clarendon",462.575,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Arlington, Clarendon",
5,"Aroda ",462.625,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Aroda",
6,"Bluefield East River Mountain",462.725,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Bluefield, East River Mountain",
7,"Chesapeake CHSPK-CM",462.600,,5,TSQL,71.9,71.9,023,NN,FM,12.5,"Chesapeake, CHSPK-CM",
8,"Christiansburg ",462.600,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Christiansburg",
9,"Covington  Big Ridge",462.600,,5,TSQL,196.6,196.6,023,NN,FM,12.5,"Covington , Big Ridge",
10,"Covington  ",462.700,,5,TSQL,151.4,151.4,023,NN,FM,12.5,"Covington ",
11,"Cross Junction Cacapon Mountain",462.575,,5,TSQL,156.7,156.7,023,NN,FM,12.5,"Cross Junction, Cacapon Mountain",
12,"Falls Church Seven Corners",462.675,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Falls Church, Seven Corners",
13,"Falls Church Seven Corners",462.550,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Falls Church, Seven Corners",
14,"Fincastle Purgatory Mountain",462.550,,5,TSQL,107.2,107.2,023,NN,FM,12.5,"Fincastle, Purgatory Mountain",
15,"Front royal Happy Creek",462.700,,5,TSQL,114.8,114.8,023,NN,FM,12.5,"Front royal, Happy Creek",
16,"Galax 402 Country Club Ln",462.700,,5,Tone,118.8,88.5,023,NN,FM,12.5,"Galax, 402 Country Club Ln",
17,"Gate City Clinch Mountain",462.700,,5,TSQL,103.5,103.5,023,NN,FM,12.5,"Gate City, Clinch Mountain",
18,"Glade Hill ",462.550,,5,DTCS,88.5,88.5,025,NN,FM,12.5,"Glade Hill",
19,"Gordonsville Gibson Mountain",462.675,,5,Tone,123.0,88.5,023,NN,FM,12.5,"Gordonsville, Gibson Mountain",
20,"Green Bay ",462.675,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Green Bay",
