Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,"Anderson ",462.575,,5,TSQL,127.3,127.3,023,NN,FM,12.5,"Anderson",
2,"Anderson Lake Hartwell",462.625,,5,Tone,171.3,88.5,023,NN,FM,12.5,"Anderson, Lake Hartwell",
3,"Ballentine  Lake Murray",462.625,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Ballentine , Lake Murray",
4,"Beaufort Shell Point ",462.600,,5,Tone,67.0,88.5,023,NN,FM,12.5,"Beaufort, Shell Point ",
5,"Beaufort  Paninis Restaurant,former Bank",462.725,,5,Tone,67.0,88.5,023,NN,FM,12.5,"Beaufort , Paninis Restaurant,former Bank",
6,"Belton Brown avenue",462.625,,5,TSQL,67.0,67.0,023,NN,FM,12.5,"Belton, Brown avenue",
7,"Cherry Grove Beach Near The Shack Restaurant",462.675,,5,DTCS,88.5,88.5,032,NN,FM,12.5,"Cherry Grove Beach, Near The Shack Restaurant",
8,"Chester Near Chester Medical Center",462.675,,5,DTCS,88.5,88.5,032,NN,FM,12.5,"Chester, Near Chester Medical Center",
9,"Cleveland Caesars Head",462.675,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Cleveland, Caesars Head",
10,"Conway Highway 501 near CCU",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Conway, Highway 501 near CCU",
11,"Edgefield ",462.625,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Edgefield",
12,"Florence ",462.625,,5,TSQL,79.7,79.7,023,NN,FM,12.5,"Florence",
13,"Fork ",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"Fork",
14,"Gable ",462.575,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Gable",
15,"Gaffney  ",462.700,,5,DTCS,88.5,88.5,162,NN,FM,12.5,"Gaffney ",
16,"Gaffney PGF Campgrounds",462.600,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Gaffney, PGF Campgrounds",
17,"Kershaw Kershaw builders supply",462.550,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Kershaw, Kershaw builders supply",
18,"Lexington Lake Murray Dam",462.550,,5,TSQL,103.5,103.5,023,NN,FM,12.5,"Lexington, Lake Murray Dam",
19,"Longs Iga",462.700,,5,Tone,179.9,88.5,023,NN,FM,12.5,"Longs, Iga",
20,"Pickens Glassy Mt",462.700,,5,TSQL,127.3,127.3,023,NN,FM,12.5,"Pickens, Glassy Mt",
21,"Rock Hill Newport",462.625,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Rock Hill, Newport",
22,"Rock Hill ",462.650,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Rock Hill",
23,"Six Mile Six Mile Mountain",462.550,,5,TSQL,127.3,127.3,023,NN,FM,12.5,"Six Mile, Six Mile Mountain",
24,"St. Stephen Russellville Tower",462.625,,5,DTCS,88.5,88.5,134,NN,FM,12.5,"St. Stephen, Russellville Tower",
25,"Starr ",462.725,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Starr",
26,"Sumter Toumey Hospital",462.725,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Sumter, Toumey Hospital",
27,"Sumter Kaitlynn's cafe",462.550,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Sumter, Kaitlynn's cafe",
28,"Travelers Rest ",462.725,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Travelers Rest",
29,"Travelers Rest Paris Mountain",462.650,,5,DTCS,88.5,88.5,165,NN,FM,12.5,"Travelers Rest, Paris Mountain",
30,"Walhalla Watertower Walhalla Sc",462.625,,5,TSQL,67.0,67.0,023,NN,FM,12.5,"Walhalla, Watertower Walhalla Sc",
31,"Wallace sc SC Stateline",462.575,,5,TSQL,88.5,114.8,023,NN,FM,12.5,"Wallace sc, SC Stateline",
32,"Westminster ",462.725,,5,,88.5,88.5,023,NN,FM,12.5,"Westminster",
33,"York ",462.600,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"York",
