Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,"Albion ",462.550,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Albion",
2,"Aledo ",462.650,,5,DTCS,88.5,88.5,073,NN,FM,12.5,"Aledo",
3,"Aurora ",462.675,,5,,88.5,88.5,023,NN,FM,12.5,"Aurora",
4,"Ava Marlboro 650",462.650,,5,TSQL,82.5,82.5,023,NN,FM,12.5,"Ava, Marlboro 650",
5,"Belnap New Columbia Bluff",462.600,,5,Tone,179.9,88.5,023,NN,FM,12.5,"Belnap, New Columbia Bluff",
6,"Brocton ",462.650,,5,TSQL,88.5,88.5,023,NN,FM,12.5,"Brocton",
7,"Carthage Hcesda, 1006 Wabash Ave.",462.650,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Carthage, Hcesda, 1006 Wabash Ave.",
8,"Chicago	 ",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Chicago	",
9,"Chicago ",462.600,,5,TSQL,192.8,192.8,023,NN,FM,12.5,"Chicago",
10,"Chicago ",462.650,,5,TSQL,79.7,79.7,023,NN,FM,12.5,"Chicago",
11,"Cissna Park ",462.550,,5,Tone,67.0,88.5,023,NN,FM,12.5,"Cissna Park",
12,"Collinsville ",462.575,,5,TSQL,179.9,179.9,023,NN,FM,12.5,"Collinsville",
13,"Columbia ",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"Columbia",
14,"Crete ",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"Crete",
15,"Danville ",462.625,,5,TSQL,173.8,173.8,023,NN,FM,12.5,"Danville",
16,"Danville ",462.550,,5,TSQL,88.5,88.5,023,NN,FM,12.5,"Danville",
17,"Elgin ",462.700,,5,,88.5,88.5,023,NN,FM,12.5,"Elgin",
18,"Evanston ",462.725,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Evanston",
19,"Freeburg ",462.675,,5,TSQL,127.3,127.3,023,NN,FM,12.5,"Freeburg",
20,"Grand tower ",462.675,,5,TSQL,77.0,77.0,023,NN,FM,12.5,"Grand tower",
21,"Greenup  ",462.700,,5,TSQL,103.5,103.5,023,NN,FM,12.5,"Greenup ",
22,"Greenup Out By The High School",462.700,,5,TSQL,103.5,103.5,023,NN,FM,12.5,"Greenup, Out By The High School",
23,"Kankakee ",462.650,,5,,88.5,88.5,023,NN,FM,12.5,"Kankakee",
24,"Keyesport Keyesport 550",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Keyesport, Keyesport 550",
25,"Marion  Marion, Il",462.700,,5,DTCS,88.5,88.5,723,NN,FM,12.5,"Marion , Marion, Il",
26,"Millstadt  Millstadt 550",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Millstadt , Millstadt 550",
27,"Mounds ",462.650,,5,DTCS,88.5,88.5,131,NN,FM,12.5,"Mounds",
28,"Mount Carmel ",462.700,,5,Tone,203.5,88.5,023,NN,FM,12.5,"Mount Carmel",
29,"Mount Carroll ",462.725,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Mount Carroll",
30,"Naperville ",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"Naperville",
31,"Naperville ",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Naperville",
32,"Naperville ",462.650,,5,DTCS,88.5,88.5,754,NN,FM,12.5,"Naperville",
33,"Nauvoo ",462.725,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Nauvoo",
34,"Northlake Melrose Park",462.725,,5,TSQL,67.0,67.0,023,NN,FM,12.5,"Northlake, Melrose Park",
35,"Oakwood Hills ",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"Oakwood Hills",
36,"Olmsted Water Tower",462.625,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Olmsted, Water Tower",
37,"Pekin Downtown",462.675,,5,TSQL,88.5,127.3,023,NN,FM,12.5,"Pekin, Downtown",
38,"Peoria ",462.600,,5,TSQL,88.5,127.3,023,NN,FM,12.5,"Peoria",
39,"Rantoul ",462.550,,5,TSQL,103.5,103.5,023,NN,FM,12.5,"Rantoul",
40,"Rantoul ",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Rantoul",
41,"Robinson ",462.550,,5,TSQL,71.9,71.9,023,NN,FM,12.5,"Robinson",
42,"Rock Island ",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Rock Island",
43,"Rockford ",462.650,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Rockford",
44,"Rockford ",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Rockford",
45,"Rockford ",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Rockford",
46,"Rockford ",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Rockford",
47,"Salem ",462.550,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Salem",
48,"Savanna ",462.600,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Savanna",
49,"Urbana Imc/usps Downtown Station",462.675,,5,TSQL,74.4,74.4,023,NN,FM,12.5,"Urbana, Imc/usps Downtown Station",
50,"Urbana ",462.575,,5,TSQL,74.4,74.4,023,NN,FM,12.5,"Urbana",
51,"Utica Starved Rock",462.725,,5,,88.5,88.5,023,NN,FM,12.5,"Utica, Starved Rock",
