Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
59,"Randleman ",462.700,,5,TSQL,114.8,114.8,023,NN,FM,12.5,"Randleman",
60,"Randleman North side",462.575,,5,TSQL,107.2,107.2,023,NN,FM,12.5,"Randleman, North side",
61,"Rockingham ",462.625,,5,TSQL,114.8,114.8,023,NN,FM,12.5,"Rockingham",
62,"Rockingham ",462.700,,5,,88.5,88.5,023,NN,FM,12.5,"Rockingham",
63,"Rockwell ",462.600,,5,DTCS,88.5,88.5,311,NN,FM,12.5,"Rockwell",
64,"Rocky Mount ",462.700,,5,TSQL,186.2,186.2,023,NN,FM,12.5,"Rocky Mount",
65,"Rosman Gorges State Park, NC",462.550,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Rosman, Gorges State Park, NC",
66,"Sanford Pittsboro Fire Station #3",462.650,,5,TSQL,162.2,162.2,023,NN,FM,12.5,"Sanford, Pittsboro Fire Station #3",
67,"Sanford Pittsboro Fire Station #3",462.550,,5,TSQL,162.2,162.2,023,NN,FM,12.5,"Sanford, Pittsboro Fire Station #3",
68,"Snow Camp ",462.550,,5,TSQL,114.8,114.8,023,NN,FM,12.5,"Snow Camp",
69,"Sophia ",462.550,,5,TSQL,107.2,107.2,023,NN,FM,12.5,"Sophia",
70,"Stanfield ",462.675,,5,Tone,210.7,88.5,023,NN,FM,12.5,"Stanfield",
71,"Statesville Statesville Airport ",462.675,,5,TSQL,156.7,156.7,023,NN,FM,12.5,"Statesville, Statesville Airport ",
72,"Sylva ",462.700,,5,,88.5,88.5,023,NN,FM,12.5,"Sylva",
73,"Tarboro DSS 6 story building",462.600,,5,TSQL,67.0,67.0,023,NN,FM,12.5,"Tarboro, DSS 6 story building",
74,"Taylorsville Linney's Mountain 650",462.650,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Taylorsville, Linney's Mountain 650",
75,"Trinity ",462.700,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Trinity",
76,"Tryon Landrum, Sc",462.650,,5,TSQL,91.5,91.5,023,NN,FM,12.5,"Tryon, Landrum, Sc",
77,"Wake Forest ",462.550,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Wake Forest",
78,"Whiteville  ",462.700,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Whiteville ",
79,"Whiteville ",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Whiteville",
80,"Wilkesboro ",462.725,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Wilkesboro",
81,"Wilkesboro LITTLE BUSHY MOUNTAIN",462.675,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Wilkesboro, LITTLE BUSHY MOUNTAIN",
82,"Wilson ",462.550,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Wilson",
