Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,"Ahoskie ",462.550,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Ahoskie",
2,"Alexander ",462.675,,5,TSQL,71.9,71.9,023,NN,FM,12.5,"Alexander",
3,"Apex ",462.550,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Apex",
4,"Apex ",462.675,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Apex",
5,"Asheboro Mystery Mountain",462.725,,5,DTCS,88.5,88.5,116,NN,FM,12.5,"Asheboro, Mystery Mountain",
6,"Asheville Biltmore",462.550,,5,TSQL,151.4,151.4,023,NN,FM,12.5,"Asheville, Biltmore",
7,"Asheville Bearwallow Mnt",462.650,,5,TSQL,118.8,118.8,023,NN,FM,12.5,"Asheville, Bearwallow Mnt",
8,"Asheville Spivey Mtn",462.725,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Asheville, Spivey Mtn",
9,"Barnardsville  ",462.625,,5,TSQL,67.0,67.0,023,NN,FM,12.5,"Barnardsville ",
10,"Black Mountain Allen Mountain (cert West)",462.675,,5,TSQL,203.5,203.5,023,NN,FM,12.5,"Black Mountain, Allen Mountain (cert West)",
11,"Black Mountain Ridgecrest (cert East)",462.625,,5,TSQL,203.5,203.5,023,NN,FM,12.5,"Black Mountain, Ridgecrest (cert East)",
12,"Burlington ",462.625,,5,TSQL,156.7,156.7,023,NN,FM,12.5,"Burlington",
13,"Buxton ",462.725,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Buxton",
14,"Chapel Hill Old Bcbs Building/wegmans",462.625,,5,Tone,100.0,88.5,023,NN,FM,12.5,"Chapel Hill, Old Bcbs Building/wegmans",
15,"Chapel Hills Fearrington Village",462.550,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Chapel Hills, Fearrington Village",
16,"Chocowinty  Twinlakes ",462.700,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Chocowinty , Twinlakes ",
17,"Durham ",462.550,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Durham",
18,"Durham Northgate Park",462.600,,5,Tone,156.7,88.5,023,NN,FM,12.5,"Durham, Northgate Park",
19,"Emerald Isle Bogue Inlet Pier",462.550,,5,TSQL,186.2,186.2,023,NN,FM,12.5,"Emerald Isle, Bogue Inlet Pier",
20,"Engelhard ",462.650,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Engelhard",
21,"Etowah Nc Big Willow 550",462.550,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Etowah Nc, Big Willow 550",
22,"Fair Bluff ",462.625,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Fair Bluff",
23,"Fairview ",462.575,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Fairview",
24,"Faith ",462.625,,5,TSQL,103.5,103.5,023,NN,FM,12.5,"Faith",
25,"Fletcher ",462.700,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Fletcher",
26,"Forest City Cherry Mountain",462.675,,5,DTCS,88.5,88.5,205,NN,FM,12.5,"Forest City, Cherry Mountain",
27,"Franklin Cowee Bald",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Franklin, Cowee Bald",
28,"Franklin ",462.600,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Franklin",
29,"Gastonia ",462.575,,5,DTCS,88.5,88.5,311,NN,FM,12.5,"Gastonia",
30,"Goldsboro ",462.600,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Goldsboro",
31,"Goldsboro ",462.700,,5,TSQL,103.5,103.5,023,NN,FM,12.5,"Goldsboro",
32,"Graham ",462.700,,5,TSQL,118.8,118.8,023,NN,FM,12.5,"Graham",
33,"Grandy Flippers",462.550,,5,TSQL,210.7,210.7,023,NN,FM,12.5,"Grandy, Flippers",
34,"Greensboro ",462.675,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Greensboro",
35,"Greensboro Battleground 600",462.600,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Greensboro, Battleground 600",
36,"Greenville Pactolus",462.700,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Greenville, Pactolus",
37,"Hamlet ",462.625,,5,Tone,114.8,88.5,023,NN,FM,12.5,"Hamlet",
38,"Henderson Tower",462.625,,5,DTCS,88.5,88.5,073,NN,FM,12.5,"Henderson, Tower",
39,"Hertford ",462.675,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Hertford",
40,"Hickory Barretts Mountain",462.600,,5,TSQL,146.2,146.2,023,NN,FM,12.5,"Hickory, Barretts Mountain",
41,"High Point High Point",462.650,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"High Point, High Point",
42,"Hubert ",462.625,,5,Tone,114.8,88.5,023,NN,FM,12.5,"Hubert",
43,"Lewiston ",462.575,,5,Tone,131.8,88.5,023,NN,FM,12.5,"Lewiston",
44,"Luart ",462.550,,5,DTCS,88.5,88.5,265,NN,FM,12.5,"Luart",
45,"Maggie Valley ",462.600,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Maggie Valley",
46,"Maiden Ironton",462.725,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Maiden, Ironton",
47,"Marion Grant's Mountain",462.675,,5,TSQL,210.7,210.7,023,NN,FM,12.5,"Marion, Grant's Mountain",
48,"Mccain ",462.675,,5,TSQL,85.4,85.4,023,NN,FM,12.5,"Mccain",
49,"Mt Airy ",462.600,,5,DTCS,88.5,88.5,411,NN,FM,12.5,"Mt Airy",
50,"Newland Grandfather Mtn",462.725,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Newland, Grandfather Mtn",
51,"Newport ",462.575,,5,DTCS,88.5,88.5,315,NN,FM,12.5,"Newport",
52,"Oakboro ",462.725,,5,TSQL,127.3,127.3,023,NN,FM,12.5,"Oakboro",
53,"Oriental Kershaw Tower",462.700,,5,Tone,131.8,88.5,023,NN,FM,12.5,"Oriental, Kershaw Tower",
54,"Pactolus ",462.700,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Pactolus",
55,"Pinebluff Pinebluff Community Center",462.600,,5,Tone,110.9,88.5,023,NN,FM,12.5,"Pinebluff, Pinebluff Community Center",
56,"Pittsboro Chatham County Eoc",462.575,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Pittsboro, Chatham County Eoc",
57,"Raleigh Wake County Courthouse",462.675,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Raleigh, Wake County Courthouse",
58,"Raleigh Fairgrounds",462.725,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Raleigh, Fairgrounds",
