Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,"Athens ",462.600,,5,,88.5,88.5,023,NN,FM,12.5,"Athens",
2,"Bath Springs ",462.550,,5,TSQL,67.0,67.0,023,NN,FM,12.5,"Bath Springs",
3,"Benton Oswald Dome",462.550,,5,DTCS,88.5,88.5,503,NN,FM,12.5,"Benton, Oswald Dome",
4,"Bethpage ",462.550,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Bethpage",
5,"Bristol South Holston Lake",462.725,,5,Tone,123.0,88.5,023,NN,FM,12.5,"Bristol, South Holston Lake",
6,"Butler Watuaga Lake",462.700,,5,Tone,123.0,88.5,023,NN,FM,12.5,"Butler, Watuaga Lake",
7,"Chattanooga East Brainerd",462.700,,5,,88.5,88.5,023,NN,FM,12.5,"Chattanooga, East Brainerd",
8,"Clarksville ",462.700,,5,TSQL,179.9,179.9,023,NN,FM,12.5,"Clarksville",
9,"Cleveland White Oak Mtn",462.650,,5,,88.5,88.5,023,NN,FM,12.5,"Cleveland, White Oak Mtn",
10,"Cleveland, tn Cleveland amateur radio",462.675,,5,TSQL,123.0,123.0,023,NN,FM,12.5,"Cleveland, tn, Cleveland amateur radio",
11,"Collierville ",462.550,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Collierville",
12,"Columbia Rock Springs / Sowell Mill Pik",462.700,,5,Tone,162.2,88.5,023,NN,FM,12.5,"Columbia, Rock Springs / Sowell Mill Pik",
13,"Enville ",462.700,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Enville",
14,"Erwin ",462.675,,5,Tone,88.5,88.5,023,NN,FM,12.5,"Erwin",
15,"Etowah Starr Mtn",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Etowah, Starr Mtn",
16,"Etowah ",462.650,,5,,88.5,88.5,023,NN,FM,12.5,"Etowah",
17,"Franklin ",462.700,,5,TSQL,91.5,91.5,023,NN,FM,12.5,"Franklin",
18,"Gallatin Music Mt.",462.650,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Gallatin, Music Mt.",
19,"Gatlinburg SKI MOUNTAIN",462.700,,5,TSQL,141.3,103.5,023,NN,FM,12.5,"Gatlinburg, SKI MOUNTAIN",
20,"Georgetown Georgetown",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Georgetown, Georgetown",
21,"Greenbrier ",462.600,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Greenbrier",
22,"Greeneville ",462.650,,5,,88.5,88.5,023,NN,FM,12.5,"Greeneville",
23,"Hampton Nanny Goat Hill",462.550,,5,TSQL,77.0,77.0,023,NN,FM,12.5,"Hampton, Nanny Goat Hill",
24,"Hendersonville ",462.700,,5,TSQL,114.8,107.2,023,NN,FM,12.5,"Hendersonville",
25,"Hendersonville ",462.650,,5,DTCS,88.5,88.5,754,NN,FM,12.5,"Hendersonville",
26,"Hixson ",462.675,,5,TSQL,118.8,118.8,023,NN,FM,12.5,"Hixson",
27,"Humboldt ",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Humboldt",
28,"Jellico Tn Duff Area White Oak",462.725,,5,DTCS,88.5,88.5,071,NN,FM,12.5,"Jellico Tn Duff Area, White Oak",
29,"Johnson City ",462.675,,5,Tone,123.0,88.5,023,NN,FM,12.5,"Johnson City",
30,"Johnson city ",462.600,,5,TSQL,88.5,88.5,023,NN,FM,12.5,"Johnson city",
31,"Jonesborough ",462.625,,5,,88.5,88.5,023,NN,FM,12.5,"Jonesborough",
32,"Kingsport Bays Mountain",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Kingsport, Bays Mountain",
33,"Kingsport  Boone lake",462.550,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Kingsport , Boone lake",
34,"Knoxville Sharps ridge",462.600,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Knoxville, Sharps ridge",
35,"Knoxville Fountain City",462.700,,5,TSQL,151.4,151.4,023,NN,FM,12.5,"Knoxville, Fountain City",
36,"Lafollette ",462.625,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Lafollette",
37,"Lebanon ",462.675,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Lebanon",
38,"Lebanon Lebanon 550",462.550,,5,TSQL,110.9,110.9,023,NN,FM,12.5,"Lebanon, Lebanon 550",
39,"Livingston Allons Tower",462.600,,5,Tone,151.4,88.5,023,NN,FM,12.5,"Livingston, Allons Tower",
40,"Lookout Mountain Lookout Mtn",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Lookout Mountain, Lookout Mtn",
41,"Madisonville ",462.700,,5,,88.5,88.5,023,NN,FM,12.5,"Madisonville",
42,"Memphis East Memphis Hilton Hotel",462.675,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Memphis, East Memphis Hilton Hotel",
43,"Memphis ",462.650,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Memphis",
44,"Millersville Millersville GMRS",462.575,,5,TSQL,88.5,88.5,023,NN,FM,12.5,"Millersville, Millersville GMRS",
45,"Mountain City Stone Mountain",462.650,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Mountain City, Stone Mountain",
46,"Murfreesboro ",462.575,,5,TSQL,107.2,107.2,023,NN,FM,12.5,"Murfreesboro",
47,"Murfreesboro Murfreesboro 725",462.725,,5,TSQL,91.5,91.5,023,NN,FM,12.5,"Murfreesboro, Murfreesboro 725",
48,"Murfreesboro ",462.725,,5,TSQL,91.5,91.5,023,NN,FM,12.5,"Murfreesboro",
49,"Murfreesboro ",462.550,,5,TSQL,114.8,114.8,023,NN,FM,12.5,"Murfreesboro",
50,"Murfreesboro ",462.600,,5,TSQL,114.8,114.8,023,NN,FM,12.5,"Murfreesboro",
51,"Nashville Love Circle",462.575,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Nashville, Love Circle",
52,"Oakridge ",462.725,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Oakridge",
53,"Ooltewah Ooltewah",462.625,,5,,88.5,88.5,023,NN,FM,12.5,"Ooltewah, Ooltewah",
54,"Pigeon forge BLUFF MOUNTAIN",462.550,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Pigeon forge, BLUFF MOUNTAIN",
55,"Portland ",462.725,,5,TSQL,136.5,136.5,023,NN,FM,12.5,"Portland",
56,"Prospect ",462.650,,5,Tone,127.3,88.5,023,NN,FM,12.5,"Prospect",
57,"Roan Mountain Rip Shin",462.625,,5,Tone,123.0,88.5,023,NN,FM,12.5,"Roan Mountain, Rip Shin",
58,"Rockwood Mt Roosevelt",462.700,,5,,88.5,88.5,023,NN,FM,12.5,"Rockwood, Mt Roosevelt",
59,"Rutherford County ",462.650,,5,TSQL,114.8,114.8,023,NN,FM,12.5,"Rutherford County",
60,"Sevierville Bluff Mountain (Greentop) ",462.675,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Sevierville, Bluff Mountain (Greentop) ",
61,"Shelbyville ",462.700,,5,TSQL,114.8,114.8,023,NN,FM,12.5,"Shelbyville",
62,"Smyrna ",462.625,,5,TSQL,91.5,91.5,023,NN,FM,12.5,"Smyrna",
63,"Spring Hill ",462.725,,5,TSQL,82.5,82.5,023,NN,FM,12.5,"Spring Hill",
64,"Springfield ",462.550,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Springfield",
65,"Tiptonville Reelfoot Lake",462.600,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Tiptonville, Reelfoot Lake",
66,"Top Of The World Cades Cove",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Top Of The World, Cades Cove",
