Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,"Akron Springfield Lake",462.675,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Akron, Springfield Lake",
2,"Albany ",462.650,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Albany",
3,"Amanda Amanda 625",462.625,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Amanda, Amanda 625",
4,"Ashland Ashland University",462.575,,5,Tone,71.9,88.5,023,NN,FM,12.5,"Ashland, Ashland University",
5,"Ashtabula ",462.550,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Ashtabula",
6,"Athens Roosevelt Tower Site",462.675,,5,TSQL,91.5,91.5,023,NN,FM,12.5,"Athens, Roosevelt Tower Site",
7,"Beavercreek ",462.650,,5,TSQL,118.8,118.8,023,NN,FM,12.5,"Beavercreek",
8,"Bellefontaine 1.3 Miles From Campbell Hill",462.575,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Bellefontaine, 1.3 Miles From Campbell Hill",
9,"Brunswick ",462.625,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Brunswick",
10,"Chardon ",462.725,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Chardon",
11,"Chesterland ",462.550,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Chesterland",
12,"Cincinnati ",462.675,,5,Tone,123.0,88.5,023,NN,FM,12.5,"Cincinnati",
13,"Cincinnati Eastside",462.600,,5,TSQL,71.9,71.9,023,NN,FM,12.5,"Cincinnati, Eastside",
14,"Circleville By pickaway co. fairgrounds",462.550,,5,,88.5,88.5,023,NN,FM,12.5,"Circleville, By pickaway co. fairgrounds",
15,"Cleveland ",462.625,,5,DTCS,88.5,88.5,265,NN,FM,12.5,"Cleveland",
16,"Columbus ",462.575,,5,,88.5,88.5,023,NN,FM,12.5,"Columbus",
17,"Columbus Hilltop Library",462.725,,5,,88.5,88.5,023,NN,FM,12.5,"Columbus, Hilltop Library",
18,"Concord twp RT84 AND RT44",462.575,,5,Tone,131.8,88.5,023,NN,FM,12.5,"Concord twp, RT84 AND RT44",
19,"Findlay ",462.600,,5,TSQL,100.0,100.0,023,NN,FM,12.5,"Findlay",
20,"Fort Recovery ",462.725,,5,TSQL,107.2,107.2,023,NN,FM,12.5,"Fort Recovery",
21,"Galloway ",462.650,,5,Tone,203.5,88.5,023,NN,FM,12.5,"Galloway",
22,"Greenville ",462.650,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Greenville",
23,"Greenville ",462.675,,5,,88.5,88.5,023,NN,FM,12.5,"Greenville",
24,"Heath ",462.550,,5,TSQL,103.5,103.5,023,NN,FM,12.5,"Heath",
25,"Huron ",462.725,,5,Tone,141.3,88.5,023,NN,FM,12.5,"Huron",
26,"Kenton ",462.700,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Kenton",
27,"Kenton ",462.575,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Kenton",
28,"Lakewood ",462.600,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Lakewood",
29,"Lancaster ",462.600,,5,TSQL,141.3,141.3,023,NN,FM,12.5,"Lancaster",
30,"Lexington Mid-ohio",462.625,,5,Tone,118.8,88.5,023,NN,FM,12.5,"Lexington, Mid-ohio",
31,"Lorain  ",462.725,,5,Tone,131.8,88.5,023,NN,FM,12.5,"Lorain ",
32,"Lorain ",462.725,,5,TSQL,131.8,131.8,023,NN,FM,12.5,"Lorain",
33,"Mansfield Downtown square in mansfield",462.725,,5,DTCS,88.5,88.5,343,NN,FM,12.5,"Mansfield, Downtown square in mansfield",
34,"Mansfield SR30 / SR39",462.650,,5,TSQL,110.9,110.9,023,NN,FM,12.5,"Mansfield, SR30 / SR39",
35,"Mansfield SR71 / SR13",462.650,,5,DTCS,88.5,88.5,032,NN,FM,12.5,"Mansfield, SR71 / SR13",
36,"Mansfield ",462.550,,5,Tone,67.0,88.5,023,NN,FM,12.5,"Mansfield",
